	PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked	ship	Deck	Title
0	1	False	3	0	22	1	0	7.0	0	Titanic	8	1.0
1	2	True	1	1	38	1	0	71.0	1	Titanic	3	3.0
2	3	True	3	1	26	0	0	7.0	0	Titanic	8	2.0
3	4	True	1	1	35	1	0	53.0	0	Titanic	3	3.0
4	5	False	3	0	35	0	0	8.0	0	Titanic	8	1.0
5	6	False	3	0	36	0	0	8.0	2	Titanic	8	1.0
6	7	False	1	0	54	0	0	51.0	0	Titanic	5	1.0
7	8	False	3	0	2	3	1	21.0	0	Titanic	8	4.0
8	9	True	3	1	27	0	2	11.0	0	Titanic	8	3.0
9	10	True	2	1	14	1	0	30.0	1	Titanic	8	3.0
10	11	True	3	1	4	1	1	16.0	0	Titanic	7	2.0
11	12	True	1	1	58	0	0	26.0	0	Titanic	3	2.0
12	13	False	3	0	20	0	0	8.0	0	Titanic	8	1.0
13	11	True	3	1	4	1	1	16.0	0	Titanic	7	2.0
14	15	False	3	1	14	0	0	7.0	0	Titanic	8	2.0
15	16	True	2	1	55	0	0	16.0	0	Titanic	8	3.0
16	17	False	3	0	2	4	1	29.0	2	Titanic	8	4.0
17	18	True	2	0	42	0	0	13.0	0	Titanic	8	1.0
18	19	False	3	1	31	1	0	18.0	0	Titanic	8	3.0
19	20	True	3	1	28	0	0	7.0	1	Titanic	8	3.0
20	21	False	2	0	35	0	0	26.0	0	Titanic	8	1.0
21	22	True	2	0	34	0	0	13.0	0	Titanic	4	1.0
22	23	True	3	1	15	0	0	8.0	2	Titanic	8	2.0
23	11	True	3	1	4	1	1	16.0	0	Titanic	7	2.0
24	25	False	3	1	8	3	1	21.0	0	Titanic	8	2.0
25	26	True	3	1	38	1	5	31.0	0	Titanic	8	3.0
26	27	False	3	0	15	0	0	7.0	1	Titanic	8	1.0
27	28	False	1	0	19	3	2	263.0	0	Titanic	3	1.0
28	29	True	3	1	30	0	0	7.0	2	Titanic	8	2.0
29	30	False	3	0	19	0	0	7.0	0	Titanic	8	1.0
30	31	False	1	0	40	0	0	27.0	1	Titanic	8	5.0
31	32	True	1	1	0	1	0	146.0	1	Titanic	2	3.0
32	33	True	3	1	31	0	0	7.0	2	Titanic	8	2.0
33	34	False	2	0	66	0	0	10.0	0	Titanic	8	1.0
34	35	False	1	0	28	1	0	82.0	1	Titanic	8	1.0
35	36	False	1	0	42	1	0	52.0	0	Titanic	8	1.0
36	37	True	3	0	16	0	0	7.0	1	Titanic	8	1.0
37	38	False	3	0	21	0	0	8.0	0	Titanic	8	1.0
38	39	False	3	1	18	2	0	18.0	0	Titanic	8	2.0
39	40	True	3	1	14	1	0	11.0	1	Titanic	8	2.0
40	41	False	3	1	40	1	0	9.0	0	Titanic	8	3.0
41	42	False	2	1	27	1	0	21.0	0	Titanic	8	3.0
42	43	False	3	0	22	0	0	7.0	1	Titanic	8	1.0
43	44	True	2	1	3	1	2	41.0	1	Titanic	8	2.0
44	45	True	3	1	19	0	0	7.0	2	Titanic	8	2.0
45	46	False	3	0	42	0	0	8.0	0	Titanic	8	1.0
46	47	False	3	0	22	1	0	15.0	2	Titanic	8	1.0
47	48	True	3	1	14	0	0	7.0	2	Titanic	8	2.0
48	49	False	3	0	34	2	0	21.0	1	Titanic	8	1.0
49	50	False	3	1	18	1	0	17.0	0	Titanic	8	3.0
50	51	False	3	0	7	4	1	39.0	0	Titanic	8	4.0
51	52	False	3	0	21	0	0	7.0	0	Titanic	8	1.0
52	53	True	1	1	49	1	0	76.0	1	Titanic	4	3.0
53	54	True	2	1	29	1	0	26.0	0	Titanic	8	3.0
54	55	False	1	0	65	0	1	61.0	1	Titanic	2	1.0
55	56	True	1	0	27	0	0	35.0	0	Titanic	3	1.0
56	57	True	2	1	21	0	0	10.0	0	Titanic	8	2.0
57	58	False	3	0	28	0	0	7.0	1	Titanic	8	1.0
58	59	True	2	1	5	1	2	27.0	0	Titanic	8	2.0
59	60	False	3	0	11	5	2	46.0	0	Titanic	8	4.0
60	61	False	3	0	22	0	0	7.0	1	Titanic	8	1.0
61	62	True	1	1	38	0	0	80.0	0	Titanic	2	2.0
62	63	False	1	0	45	1	0	83.0	0	Titanic	3	1.0
63	64	False	3	0	4	3	2	27.0	0	Titanic	8	4.0
64	65	False	1	0	40	0	0	27.0	1	Titanic	8	1.0
65	66	True	3	0	29	1	1	15.0	1	Titanic	8	4.0
66	67	True	2	1	29	0	0	10.0	0	Titanic	6	3.0
67	68	False	3	0	19	0	0	8.0	0	Titanic	8	1.0
68	69	True	3	1	17	4	2	7.0	0	Titanic	8	2.0
69	70	False	3	0	26	2	0	8.0	0	Titanic	8	1.0
70	71	False	2	0	32	0	0	10.0	0	Titanic	8	1.0
71	72	False	3	1	16	5	2	46.0	0	Titanic	8	2.0
72	73	False	2	0	21	0	0	73.0	0	Titanic	8	1.0
73	74	False	3	0	26	1	0	14.0	1	Titanic	8	1.0
74	75	True	3	0	32	0	0	56.0	0	Titanic	8	1.0
75	76	False	3	0	25	0	0	7.0	0	Titanic	6	1.0
76	77	False	3	0	35	0	0	7.0	0	Titanic	8	1.0
77	78	False	3	0	15	0	0	8.0	0	Titanic	8	1.0
78	79	True	2	0	0	0	2	29.0	0	Titanic	8	4.0
79	80	True	3	1	30	0	0	12.0	0	Titanic	8	2.0
80	81	False	3	0	22	0	0	9.0	0	Titanic	8	1.0
81	82	True	3	0	29	0	0	9.0	0	Titanic	8	1.0
82	83	True	3	1	31	0	0	7.0	2	Titanic	8	2.0
83	84	False	1	0	28	0	0	47.0	0	Titanic	8	1.0
84	85	True	2	1	17	0	0	10.0	0	Titanic	8	2.0
85	86	True	3	1	33	3	0	15.0	0	Titanic	8	3.0
86	87	False	3	0	16	1	3	34.0	0	Titanic	8	1.0
87	88	False	3	0	43	0	0	8.0	0	Titanic	8	1.0
88	89	True	1	1	23	3	2	263.0	0	Titanic	3	2.0
89	90	False	3	0	24	0	0	8.0	0	Titanic	8	1.0
90	91	False	3	0	29	0	0	8.0	0	Titanic	8	1.0
91	92	False	3	0	20	0	0	7.0	0	Titanic	8	1.0
92	93	False	1	0	46	1	0	61.0	0	Titanic	5	1.0
93	94	False	3	0	26	1	2	20.0	0	Titanic	8	1.0
94	95	False	3	0	59	0	0	7.0	0	Titanic	8	1.0
95	96	False	3	0	30	0	0	8.0	0	Titanic	8	1.0
96	97	False	1	0	71	0	0	34.0	1	Titanic	1	1.0
97	98	True	1	0	23	0	1	63.0	1	Titanic	4	1.0
98	99	True	2	1	34	0	1	23.0	0	Titanic	8	3.0
99	100	False	2	0	34	1	0	26.0	0	Titanic	8	1.0
100	101	False	3	1	28	0	0	7.0	0	Titanic	8	2.0
101	102	False	3	0	31	0	0	7.0	0	Titanic	8	1.0
102	103	False	1	0	21	0	1	77.0	0	Titanic	4	1.0
103	104	False	3	0	33	0	0	8.0	0	Titanic	8	1.0
104	105	False	3	0	37	2	0	7.0	0	Titanic	8	1.0
105	106	False	3	0	28	0	0	7.0	0	Titanic	8	1.0
106	107	True	3	1	21	0	0	7.0	0	Titanic	8	2.0
107	108	True	3	0	36	0	0	7.0	0	Titanic	8	1.0
108	109	False	3	0	38	0	0	7.0	0	Titanic	8	1.0
109	110	True	3	1	25	1	0	24.0	2	Titanic	8	2.0
110	111	False	1	0	47	0	0	52.0	0	Titanic	3	1.0
111	112	False	3	1	14	1	0	14.0	1	Titanic	8	2.0
112	113	False	3	0	22	0	0	8.0	0	Titanic	8	1.0
113	114	False	3	1	20	1	0	9.0	0	Titanic	8	2.0
114	115	False	3	1	17	0	0	14.0	1	Titanic	8	2.0
115	116	False	3	0	21	0	0	7.0	0	Titanic	8	1.0
116	117	False	3	0	70	0	0	7.0	2	Titanic	8	1.0
117	118	False	2	0	29	1	0	21.0	0	Titanic	8	1.0
118	119	False	1	0	24	0	1	247.0	1	Titanic	2	1.0
119	120	False	3	1	2	4	2	31.0	0	Titanic	8	2.0
120	121	False	2	0	21	2	0	73.0	0	Titanic	8	1.0
121	122	False	3	0	29	0	0	8.0	0	Titanic	8	1.0
122	123	False	2	0	32	1	0	30.0	1	Titanic	8	1.0
123	124	True	2	1	32	0	0	13.0	0	Titanic	5	2.0
124	125	False	1	0	54	0	1	77.0	0	Titanic	4	1.0
125	126	True	3	0	12	1	0	11.0	1	Titanic	8	4.0
126	127	False	3	0	36	0	0	7.0	2	Titanic	8	1.0
127	128	True	3	0	24	0	0	7.0	0	Titanic	8	1.0
128	129	True	3	1	23	1	1	22.0	1	Titanic	6	2.0
129	130	False	3	0	45	0	0	6.0	0	Titanic	8	1.0
130	131	False	3	0	33	0	0	7.0	1	Titanic	8	1.0
131	132	False	3	0	20	0	0	7.0	0	Titanic	8	1.0
132	133	False	3	1	47	1	0	14.0	0	Titanic	8	3.0
133	134	True	2	1	29	1	0	26.0	0	Titanic	8	3.0
134	135	False	2	0	25	0	0	13.0	0	Titanic	8	1.0
135	136	False	2	0	23	0	0	15.0	1	Titanic	8	1.0
136	137	True	1	1	19	0	2	26.0	0	Titanic	4	2.0
137	138	False	1	0	37	1	0	53.0	0	Titanic	3	1.0
138	139	False	3	0	16	0	0	9.0	0	Titanic	8	1.0
139	140	False	1	0	24	0	0	79.0	1	Titanic	2	1.0
140	141	False	3	1	23	0	2	15.0	1	Titanic	8	3.0
141	142	True	3	1	22	0	0	7.0	0	Titanic	8	2.0
142	143	True	3	1	24	1	0	15.0	0	Titanic	8	3.0
143	144	False	3	0	19	0	0	6.0	2	Titanic	8	1.0
144	145	False	2	0	18	0	0	11.0	0	Titanic	8	1.0
145	146	False	2	0	19	1	1	36.0	0	Titanic	8	1.0
146	147	True	3	0	27	0	0	7.0	0	Titanic	8	1.0
147	148	False	3	1	9	2	2	34.0	0	Titanic	8	2.0
148	149	False	2	0	36	0	2	26.0	0	Titanic	6	1.0
149	150	False	2	0	42	0	0	13.0	0	Titanic	8	5.0
150	151	False	2	0	51	0	0	12.0	0	Titanic	8	5.0
151	152	True	1	1	22	1	0	66.0	0	Titanic	3	3.0
152	153	False	3	0	55	0	0	8.0	0	Titanic	8	1.0
153	154	False	3	0	40	0	2	14.0	0	Titanic	8	1.0
154	155	False	3	0	24	0	0	7.0	0	Titanic	8	1.0
155	156	False	1	0	51	0	1	61.0	1	Titanic	8	1.0
156	157	True	3	1	16	0	0	7.0	2	Titanic	8	2.0
157	158	False	3	0	30	0	0	8.0	0	Titanic	8	1.0
158	159	False	3	0	14	0	0	8.0	0	Titanic	8	1.0
159	160	False	3	0	39	8	2	69.0	0	Titanic	8	4.0
160	161	False	3	0	44	0	1	16.0	0	Titanic	8	1.0
161	162	True	2	1	40	0	0	15.0	0	Titanic	8	3.0
162	163	False	3	0	26	0	0	7.0	0	Titanic	8	1.0
163	164	False	3	0	17	0	0	8.0	0	Titanic	8	1.0
164	165	False	3	0	1	4	1	39.0	0	Titanic	8	4.0
165	166	True	3	0	9	0	2	20.0	0	Titanic	8	4.0
166	167	True	1	1	14	0	1	55.0	0	Titanic	5	3.0
167	168	False	3	1	45	1	4	27.0	0	Titanic	8	3.0
168	169	False	1	0	25	0	0	25.0	0	Titanic	8	1.0
169	170	False	3	0	28	0	0	56.0	0	Titanic	8	1.0
170	171	False	1	0	61	0	0	33.0	0	Titanic	2	1.0
171	172	False	3	0	4	4	1	29.0	2	Titanic	8	4.0
172	173	True	3	1	1	1	1	11.0	0	Titanic	8	2.0
173	174	False	3	0	21	0	0	7.0	0	Titanic	8	1.0
174	175	False	1	0	56	0	0	30.0	1	Titanic	1	1.0
175	176	False	3	0	18	1	1	7.0	0	Titanic	8	1.0
176	177	False	3	0	34	3	1	25.0	0	Titanic	8	4.0
177	178	False	1	1	50	0	0	28.0	1	Titanic	3	2.0
178	179	False	2	0	30	0	0	13.0	0	Titanic	8	1.0
179	180	False	3	0	36	0	0	0.0	0	Titanic	8	1.0
180	181	False	3	1	35	8	2	69.0	0	Titanic	8	2.0
181	182	False	2	0	43	0	0	15.0	1	Titanic	8	1.0
182	183	False	3	0	9	4	2	31.0	0	Titanic	8	4.0
183	184	True	2	0	1	2	1	39.0	0	Titanic	6	4.0
184	185	True	3	1	4	0	2	22.0	0	Titanic	8	2.0
185	186	False	1	0	24	0	0	50.0	0	Titanic	1	1.0
186	187	True	3	1	26	1	0	15.0	2	Titanic	8	3.0
187	188	True	1	0	45	0	0	26.0	0	Titanic	8	1.0
188	189	False	3	0	40	1	1	15.0	2	Titanic	8	1.0
189	190	False	3	0	36	0	0	7.0	0	Titanic	8	1.0
190	191	True	2	1	32	0	0	13.0	0	Titanic	8	3.0
191	192	False	2	0	19	0	0	13.0	0	Titanic	8	1.0
192	193	True	3	1	19	1	0	7.0	0	Titanic	8	2.0
193	194	True	2	0	3	1	1	26.0	0	Titanic	6	4.0
194	195	True	1	1	44	0	0	27.0	1	Titanic	2	3.0
195	196	True	1	1	58	0	0	146.0	1	Titanic	2	2.0
196	197	False	3	0	14	0	0	7.0	2	Titanic	8	1.0
197	198	False	3	0	42	0	1	8.0	0	Titanic	8	1.0
198	199	True	3	1	43	0	0	7.0	2	Titanic	8	2.0
199	200	False	2	1	24	0	0	13.0	0	Titanic	8	2.0
200	201	False	3	0	28	0	0	9.0	0	Titanic	8	1.0
201	202	False	3	0	30	8	2	69.0	0	Titanic	8	1.0
202	203	False	3	0	34	0	0	6.0	0	Titanic	8	1.0
203	204	False	3	0	45	0	0	7.0	1	Titanic	8	1.0
204	205	True	3	0	18	0	0	8.0	0	Titanic	8	1.0
205	206	False	3	1	2	0	1	10.0	0	Titanic	7	2.0
206	207	False	3	0	32	1	0	15.0	0	Titanic	8	1.0
207	208	True	3	0	26	0	0	18.0	1	Titanic	8	1.0
208	209	True	3	1	16	0	0	7.0	2	Titanic	8	2.0
209	210	True	1	0	40	0	0	31.0	1	Titanic	1	1.0
210	211	False	3	0	24	0	0	7.0	0	Titanic	8	1.0
211	212	True	2	1	35	0	0	21.0	0	Titanic	8	2.0
212	213	False	3	0	22	0	0	7.0	0	Titanic	8	1.0
213	214	False	2	0	30	0	0	13.0	0	Titanic	8	1.0
214	215	False	3	0	40	1	0	7.0	2	Titanic	8	1.0
215	216	True	1	1	31	1	0	113.0	1	Titanic	4	2.0
216	217	True	3	1	27	0	0	7.0	0	Titanic	8	2.0
217	218	False	2	0	42	1	0	27.0	0	Titanic	8	1.0
218	219	True	1	1	32	0	0	76.0	1	Titanic	4	2.0
219	220	False	2	0	30	0	0	10.0	0	Titanic	8	1.0
220	221	True	3	0	16	0	0	8.0	0	Titanic	8	1.0
221	222	False	2	0	27	0	0	13.0	0	Titanic	8	1.0
222	223	False	3	0	51	0	0	8.0	0	Titanic	8	1.0
223	224	False	3	0	26	0	0	7.0	0	Titanic	8	1.0
224	225	True	1	0	38	1	0	90.0	0	Titanic	3	1.0
225	226	False	3	0	22	0	0	9.0	0	Titanic	8	1.0
226	227	True	2	0	19	0	0	10.0	0	Titanic	8	1.0
227	228	False	3	0	20	0	0	7.0	0	Titanic	8	1.0
228	229	False	2	0	18	0	0	13.0	0	Titanic	8	1.0
229	230	False	3	1	43	3	1	25.0	0	Titanic	8	2.0
230	231	True	1	1	35	1	0	83.0	0	Titanic	3	3.0
231	232	False	3	0	29	0	0	7.0	0	Titanic	8	1.0
232	233	False	2	0	59	0	0	13.0	0	Titanic	8	1.0
233	234	True	3	1	5	4	2	31.0	0	Titanic	8	2.0
234	235	False	2	0	24	0	0	10.0	0	Titanic	8	1.0
235	236	False	3	1	30	0	0	7.0	0	Titanic	8	2.0
236	237	False	2	0	44	1	0	26.0	0	Titanic	8	1.0
237	238	True	2	1	8	0	2	26.0	0	Titanic	8	2.0
238	239	False	2	0	19	0	0	10.0	0	Titanic	8	1.0
239	240	False	2	0	33	0	0	12.0	0	Titanic	8	1.0
240	241	False	3	1	34	1	0	14.0	1	Titanic	8	2.0
241	242	True	3	1	17	1	0	15.0	2	Titanic	8	2.0
242	243	False	2	0	29	0	0	10.0	0	Titanic	8	1.0
243	244	False	3	0	22	0	0	7.0	0	Titanic	8	1.0
244	245	False	3	0	30	0	0	7.0	1	Titanic	8	1.0
245	246	False	1	0	44	2	0	90.0	2	Titanic	3	5.0
246	247	False	3	1	25	0	0	7.0	0	Titanic	8	2.0
247	248	True	2	1	24	0	2	14.0	0	Titanic	8	3.0
248	249	True	1	0	37	1	1	52.0	0	Titanic	4	1.0
249	250	False	2	0	54	1	0	26.0	0	Titanic	8	5.0
250	251	False	3	0	31	0	0	7.0	0	Titanic	8	1.0
251	252	False	3	1	29	1	1	10.0	0	Titanic	7	3.0
252	253	False	1	0	62	0	0	26.0	0	Titanic	3	1.0
253	254	False	3	0	30	1	0	16.0	0	Titanic	8	1.0
254	255	False	3	1	41	0	2	20.0	0	Titanic	8	3.0
255	256	True	3	1	29	0	2	15.0	1	Titanic	8	3.0
